symbol,side,entry,tp,sl,updates
BIGTIME,SHORT,0.04837,0.04519,0.05051,"I dca below the trend line setup still same sl and tp | Bigtime back to green , still holding to tp or sl | Incase anyone took , move sl to be its down 3% | Tp1 here | Bigtime back in green , incase you entered really late and you had a good entry , at least move sl to be , for me im playing setup fully | Sl to be | Tp1 | Full tp 3r | Tp1 taken here and put sl be
😈
Also this for people who hold 😭"
POPCAT,LONG,0.1856,0.1905 | 0.1934 | 0.2023,0.181,Tp1 smashed
INJ,LONG,8.69,8.94 | 9.5,8.45,"No longer closing be at any trade 😭

Sl or tp from now on
Still100% wr on bigtime"
FARTCOIN,SHORT,0.5315,0.5053 | 2.0 | 0.46725,0.55441,"popcat did tp1 , and closed at be after | Half way to tp , move sl to breakeven | TP1 here , 1R and if you took post in #「💸arena-testimonials」"
WIF,SHORT,0.413,0.3765,0.4282,take tp1 here
OK,SHORT,0.5315,0.5053 | 2.0 | 0.46725 | 0.5,0.55441,"and that should be a good lesson , why you should never enter the same setup after it hit tp
you are welcome goats 🗣️ 📢 🔥 | pepe setup , tp2 here , up 7.5% | Im gonna write an essay about how to follow the trades and how much you tp or when to put sl be , vote if you want or no 

Would make my life easier and yours also"
TNSR,LONG,0.151,0.1718,0.1477,"You can move sl be here its half way for 1R , im holding sl or full tp 

If you are i. Big position put sl be | Tp1 here | So to make it super simple ,

Tp= 10 dollars 
Sl = -10 dollars 

😭 waiting for market to stable a bit and dropping some killer to kill my self irl"
POPCAT,LONG,0.1577,0.1626 | 0.175,0.1531,
ETH,LONG,1535.0,1864.0,1491.86,"Setup tp1 at : 0.05777
That is 1R | Moving sl to be
Half way throw tp | Tp1 smash , post pnls in #「💸arena-testimonials」
Challenge balance now 60 dollars | Full tp bigtime here 2rr"
PEPE,SHORT,6.55e-06,5.81e-06,6.82e-06,
POPCAT,SHORT,0.1563,0.1395,0.1631,"Incase anyone took , move sl to be and trim some profit
I highly doubt anyone took ofc 😭"
HBAR,LONG,0.16448,0.17358,0.15891,"This is the trade number 4 in challenge :

first one was bigtime long = tp
Pepe short = -0.25r
Popcat short = sl 

Lets see this one | Moving sl to be , half way throw tp | If this goes to tp im gonna do giveaway with the profits , since my be didnt hit yet cuz i had lower entry , fck this boring market"
PEPE,SHORT,0.0721,0.069,0.0744,
MUBARAK,LONG,0.04051,0.04145,0.03992,"SL BE , half way to tp #「💸arena-testimonials」 | SL be half way to tp"
JASMY,LONG,0.0103,0.01095,0.00997,"1R here , manage your trade if you wanna trim some profits or hold for tp , looking for another killer | guys , when i said SL to BE , please do not close the position because it will fck up your risk to reward on the long run , if you are happy with your profit , sure you can close whenever you want , but i say sl at be , to have risk free trade | Pepe full tp smashed 1.5r | Ep: .46706
Sl: 0.48519
Tp: 0.41579 
When when 4h close below 0.46080 | Move sl to be and enjoy your weekends , if you took post it in #「💸arena-testimonials」 | Sol if it retest the trendline i would look for a short as long we are below the trendline , my tp would be 110 | Fart tp1 here | Tp2 | Full tp smashed 🥶🥶 | Move sl to be and take tp1"
PNUT,SHORT,0.1369,0.1272 | 0.5,0.1429,"$PEPE SHORT TRADE :
ep: .0646
Sl: 0.0669
Tp: 0.0587 | Sl be on pepe and take tp1 at 63 or below"
HBAR,LONG,0.15632,0.18208,0.14633,Take tp1 here 0.8r
PEPE,SHORT,0.6525,0.585,0.675,
HBAR,SHORT,0.16883,0.15632,0.17528,"Ballsy announcement : 
Hbar short will hit tp


Setup accuracy 110% | Also hbar you can move sl to breakeven at 0.16436
And take tp1 at : 0.16183 | Perfect rejection from our trendline , if you took also move sl to break even , its down 1.6% and take tp1 at 81600 | Popcat is down 4% , you can also move sl to be , i would take tp at 0.1577 | $POPCAT DOWN 10% , you can take tp 1 | $BTC DOWN 5% , you can take TP 1
$SOL DOWN 9% , you can also take tp1
manage your trades from here"
HBAR,SHORT,0.16873,0.15532,0.17518,"move sl be , we are half way to tp"
PNUT,SHORT,0.1466,0.1371,0.1501,"move sl to be , 1% away from tp1 , take tp1 at 0.1431 | Move sl be and take tp1, 
Gm all | Full tp smashed 2.7R simple w | Tp1 here | $TAO LIMIT LONG TRADE :
ep: 237.15 - 230
Sl3 224
Tp: 268 | Tp2 at 125 | Move sl to be , and trim some profit up almost 1R | Tao tp1 at 250 thats 1R | Tao smashed tp1 | If anyone held and didnt close when i said to close , you can move sl to be 😭😭"
WIF,LONG,0.4255,0.4651,0.4146,"Move sl to be , tp1 at 0.44
Good night guys"
POPCAT,SHORT,0.24675,0.2126,0.2572,
BIGTIME,LONG,0.06296,0.077,0.05915,"$HBAR LONG SETUP , if 4h close above our support , sl would be manual close if 4h close below , manage your risk , first tp is 0.1618"
FET,LONG,0.4667,0.4992,0.4513,"Tp1 here thats 1r , post in #「💸arena-testimonials」 if u took | up 7% from our entry , take tp1 , and move sl to be | up 5% from our entry , take tp1 , and move sl be
as per usual , if you took post in #「💸arena-testimonials」 | smashed full tp up 7% 2.11R | $JASMY SHORT TRADE:
ep: 0.1362
Sl: 0.01422
Tp: 0.01259 | Move sl to be , half way to tp1 at 0.01309"
POPCAT,SHORT,0.2435,0.2127 | 0.5,0.2521,"Move sl to BE , half way throw Tp1 , you can take tp1 at : 0.228"
TAO,SHORT,268.68,236.79,275.45,Take tp1 here almost 1R
SOL,SHORT,140.44,125.83,148.58,Move sol short sl to be i dont wanna risk in this weekend we sniped the top | Tp1 here | Tp2 | Full tp wif here 6%
SOL,LONG,139.615,167.67,136.84,"up 3% , move sl to be , sol long still running . | brett up 9% , take tp2 here"
PNUT,SHORT,0.13825,0.1335 | 0.13,0.141,Tp1 smashed
PNUT,LONG,0.1298,0.1335 | 0.1371 | 0.14,0.1261,"Ok pnut sl clutched so hard , now its at entry , im holding , if you are risking too much you can close or trim some , i think its a tp smasher | Move sl to Be | Tp1 here more than 1R , and manage the trade from here"
POPCAT,SHORT,0.3061,0.2661,0.3194,"Half way to TP , move sl to break even | again i repeat MOVE SL TO BE ON POPCAT , thanks ❤️"
BRETT,LONG,0.03339,0.03513 | 0.03833,0.03247,"popcat BE smashed , bret in profit
i wanted to take tp1 at 0.5r , but i didnt i hope some of you did | Brett , up 1.8% , move sl to BE  lets ride it risk free | just if anyone wondering why i put BE so early , everytime my trade is up 0.5R , i rather move sl to be , as long as you dont risk capital you can always make profit | brett up more than 1R , you can take tp1 here
i had bad entry cuz i was editing the trade in the channel fck you guys | Take tp2 here 🥶🥶
Also brett smashed also 😭 | brett up 9% , tp2 taken here thats 3R 🥶 | down 3% , im playing the full setup , if you took move sl to be or not up 2 u imo it will nuke | Pnut full tp smashed 3.64R | Brett full tp smash"
TAO,SHORT,340.535,316.15 | 304.5 | 280.81,356.29,"Move sl to be @Xvek Notif
Same with fet | Tp1 here 1R @Xvek Notif make sure to post in #「💸arena-testimonials」 if u took | Tao smashed be , after it was down 3% , fet smashed tp1 , i hope you all made some money today , market a bit stuck in middle @Xvek Notif"
HBAR,SHORT,0.18074,0.17368 | 0.16886,0.1855,"For anyone thats wondering 

Ep= entry price
Sl= stoploss 
Tp= take profit 

Ur mom also on my dn = deeznuts"
AAVE,SHORT,168.81,157.7,171.96,Move sl to be @Xvek Notif
WIF,LONG,0.635,0.706,0.6113,@Xvek Notif move sl to be | Its 1R from 2nd entry so you can book tp1 @Xvek Notif and manage the trade from here | 2R here tp2 @Xvek Notif | @Xvek Notif full tp smashed 2.1R 10% up
TAO,LONG,336.185,368.03,322.27,
WIF,LONG,0.64,0.6666 | 2.0 | 0.71,0.6128,
BIGTIME,SHORT,0.07846,0.06981,0.08156,@Xvek Notif move sl to be half way to tp1 | Take tp1 at 0.07535 @Xvek Notif | Tp1 taken here on bigtime short thats 1R @Xvek Notif wif sl recovered
POPCAT,SHORT,0.4181,0.3422,0.4556,
SOL,LONG,146.5,153.0,143.55,"Move sl be and take tp1 at 149.5 @Xvek Notif | @Xvek Notif good morning everyone , sol smashed be when it was 0.2% away from tp1 , moving in to the next one"
WIF,LONG,0.596,0.64,0.5765,"Move wif sl to be and take tp1 at 0.613 thats 1R @Xvek Notif
Wif mom = on my cock | @Xvek Notif tp1 smashed #「💸arena-testimonials」"
PNUT,LONG,0.1705,0.1774 | 0.1892,0.1659,"Almost 2% up move sl to be @Xvek Notif | If hbar smash sl , we know who to blame
We blame khalil
Because khalil is our black sheep
Tp smashed = im the goat
Sl smashed = khalil crashed the market with his longs | Pnut tp2 here up 8% @Xvek Notif | Good morning everyone , take tp1 here its up 1.5R , and move sl be
@Xvek Notif | you can full tp pnut here"
SOL,SHORT,151.66,146.0 | 140.0,155.18,"sol should be filled for all , if sl smsh we blame khalil if tp smash im the goat . | @Xvek Notif move sl to be , im not touching this dead slow coin ever .

At least i trade it risk free | $TAO LONG SETUP : 
I have alert on 358-360
Im waiting for the price to touch my trend line , if it holds above you can long , and the sl would be 4h close below the trendline 

If you want you can setup another alert at 338.7 and long from there 

The sl would be 4h close below that lvl 

So its 2 long setups
One at the trendline
And one at support

As per usual manage your risk 

Tp would be at 368 @Xvek Notif | Gm all sol tp1 here its 1R @Xvek Notif"
PNUT,LONG,0.1705,0.1774 | 0.1905,0.1664,"Guys if pnut pump 1% more , move sl to be , so when its 0.5R move sl be , im going to bed my e-mommy is yelling at me throw the discord 25h long call @Xvek Notif | @Xvek Notif tao setup is up 4% take tp1 and move sl be | Tp1 taken here @Xvek Notif 🥶🥶😈🫵🏻 thats 1r | So far 
Sol tp1
Tao tp1
Pnut tp1
Aave tp1 loading 

Get ready for 20sl inc | For anyonewho didnt close aave take tp1 | Its ok
Sol 
Pnut
Tao tp
And we have 2 sl so wr good | Gonna bully you when tp smash | Also sol tp2 here @Xevk | Also pepe tp1 here also down 7% @Xvek Notif"
BRETT,LONG,0.05293,0.06,0.05061,
AAVE,LONG,173.52,178.0 | 190.0,166.61,"Moving sl to be means move sl to be dont sell on me ngers 😭😭 @Xvek Notif | Ok blacklisted wif no biggie guys , brett in profit , soon aave and fet and brett smash tp
And we recover the sls
Its not a sprint its amarathon | @Xvek Notif 
Brett take tp1 at 0.055 thats 1R | @Xvek Notif tp1 on brett up 5% almost more than 1R | Also aave tp1 smashed , move sl be @Xvek Notif | @Xvek Notif move sl to be its up 2% | @Xvek Notif tp1 here , and move sl be its 1R | Move sl to be and take tp1 here its 2% almost @Xvek Notif | Move sl to be down 0.5R alrdy 

@Xvek Notif | @Xvek Notif tp1 taken here thats 1R | You can also take tp1 here , thats 1R 
@Xvek Notif | Gm all ,

1R here move sl to be and take tp1 @Xvek Notif | Also pepe take tp1 here up 2% @Xvek Notif | @Xvek Notif 
$HBAR LONG TRADE: 
Ep: 0.1742
Sl: .17067
Tp:0.179-0.182 | @Xvek Notif short brett
Ep: .05186
Sl: 0.5397
Tp: 0.04495 | Wif tp1 smashed up 6% @Xvek Notif | Tp2 taken here thats 2R @Xvek Notif | retested and pumped 4% , take tp1 here @Xvek Notif | @Xvek Notif wif full tp smashed 3r almost"
